Cooling scheme,formula: T_current = T_begin - current_iteration * (T_begin - T_end) / total_iterations
1170,88.4269
1171,88.417
1172,88.4071
1173,88.3972
1174,88.3873
1175,88.3774
1176,88.3675
1177,88.3576
1178,88.3477
1179,88.3378
1180,88.3279
1181,88.318
1182,88.3081
1183,88.2982
1184,88.28829999999999
1185,88.2784
1186,88.2685
1187,88.2586
1188,88.2487
1189,88.2388
1190,88.2289
1191,88.219
1192,88.2091
1193,88.1992
1194,88.1893
1195,88.1794
1196,88.1695
1197,88.1596
1198,88.1497
1199,88.1398
1200,88.12989999999999
1201,88.12
1202,88.1101
1203,88.1002
1204,88.0903
1205,88.0804
1206,88.0705
1207,88.0606
1208,88.0507
1209,88.0408
1210,88.0309
1211,88.021
1212,88.0111
1213,88.0012
1214,87.9913
1215,87.98140000000001
1216,87.9715
1217,87.9616
1218,87.9517
1219,87.9418
1220,87.9319
1221,87.922
1222,87.9121
1223,87.9022
1224,87.8923
1225,87.8824
1226,87.8725
1227,87.8626
1228,87.8527
1229,87.8428
1230,87.8329
1231,87.82300000000001
1232,87.8131
1233,87.8032
1234,87.7933
1235,87.7834
1236,87.7735
1237,87.7636
1238,87.7537
1239,87.7438
1240,87.7339
1241,87.724
1242,87.7141
1243,87.7042
1244,87.6943
1245,87.6844
1246,87.6745
1247,87.66460000000001
1248,87.6547
1249,87.6448
1250,87.6349
1251,87.625
1252,87.6151
1253,87.6052
1254,87.5953
1255,87.58539999999999
1256,87.5755
1257,87.5656
1258,87.5557
1259,87.5458
1260,87.5359
1261,87.526
1262,87.5161
1263,87.5062
1264,87.4963
1265,87.4864
1266,87.4765
1267,87.4666
1268,87.4567
1269,87.4468
1270,87.4369
1271,87.42699999999999
1272,87.4171
1273,87.4072
1274,87.3973
1275,87.3874
1276,87.3775
1277,87.3676
1278,87.3577
1279,87.3478
1280,87.3379
1281,87.328
1282,87.3181
1283,87.3082
1284,87.2983
1285,87.2884
1286,87.2785
1287,87.26859999999999
1288,87.2587
1289,87.2488
1290,87.2389
1291,87.229
1292,87.2191
1293,87.2092
1294,87.1993
1295,87.1894
1296,87.1795
1297,87.1696
1298,87.1597
1299,87.1498
1300,87.1399
1301,87.13
1302,87.12010000000001
1303,87.1102
1304,87.1003
1305,87.0904
1306,87.0805
1307,87.0706
1308,87.0607
1309,87.0508
1310,87.0409
1311,87.031
1312,87.0211
1313,87.0112
1314,87.0013
1315,86.9914
1316,86.9815
1317,86.9716
1318,86.96170000000001
1319,86.9518
1320,86.9419
1321,86.932
1322,86.9221
1323,86.9122
1324,86.9023
1325,86.8924
1326,86.8825
1327,86.8726
1328,86.8627
1329,86.8528
1330,86.8429
1331,86.833
1332,86.8231
1333,86.8132
1334,86.80330000000001
1335,86.7934
1336,86.7835
1337,86.7736
1338,86.7637
1339,86.7538
1340,86.7439
1341,86.734
1342,86.72409999999999
1343,86.7142
1344,86.7043
1345,86.6944
1346,86.6845
1347,86.6746
1348,86.6647
1349,86.6548
1350,86.6449
1351,86.635
1352,86.6251
1353,86.6152
1354,86.6053
1355,86.5954
1356,86.5855
1357,86.5756
1358,86.56569999999999
1359,86.5558
1360,86.5459
1361,86.536
1362,86.5261
1363,86.5162
1364,86.5063
1365,86.4964
1366,86.4865
1367,86.4766
1368,86.4667
1369,86.4568
1370,86.4469
1371,86.437
1372,86.4271
1373,86.4172
1374,86.40729999999999
1375,86.3974
1376,86.3875
1377,86.3776
1378,86.3677
1379,86.3578
1380,86.3479
1381,86.338
1382,86.3281
1383,86.3182
1384,86.3083
1385,86.2984
1386,86.2885
1387,86.2786
1388,86.2687
1389,86.25880000000001
1390,86.2489
1391,86.239
1392,86.2291
1393,86.2192
1394,86.2093
1395,86.1994
1396,86.1895
1397,86.1796
1398,86.1697
1399,86.1598
1400,86.1499
1401,86.14
1402,86.1301
1403,86.1202
1404,86.1103
1405,86.10040000000001
1406,86.0905
1407,86.0806
1408,86.0707
1409,86.0608
1410,86.0509
1411,86.041
1412,86.0311
1413,86.0212
1414,86.0113
1415,86.0014
1416,85.9915
1417,85.9816
1418,85.9717
1419,85.9618
1420,85.9519
1421,85.94200000000001
1422,85.9321
1423,85.9222
1424,85.9123
1425,85.9024
1426,85.8925
1427,85.8826
1428,85.8727
1429,85.8628
1430,85.8529
1431,85.843
1432,85.8331
1433,85.8232
1434,85.8133
1435,85.8034
1436,85.7935
1437,85.7836
1438,85.7737
1439,85.7638
1440,85.7539
1441,85.744
1442,85.7341
