Experiment: scoreverloop Hillclimber,"depthhillcimber, 3d, sequence 5, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
376,-18.325,1.375
377,-18.325,1.275
378,-18.35,0.725
379,-18.35,1.4
380,-18.35,0.95
381,-18.35,1.425
382,-18.35,1.475
383,-18.35,0.95
384,-18.35,1.65
385,-18.375,1.1
386,-18.375,1.375
387,-18.375,1.15
388,-18.375,1.0
389,-18.375,1.425
390,-18.375,1.425
391,-18.375,1.425
392,-18.375,1.475
393,-18.375,1.875
394,-18.375,1.025
395,-18.4,1.3
396,-18.4,1.25
397,-18.4,1.9
398,-18.4,1.45
399,-18.4,1.3
400,-18.4,0.9
401,-18.4,0.975
402,-18.4,1.575
403,-18.4,1.45
404,-18.4,0.875
405,-18.4,0.9
406,-18.4,1.375
407,-18.4,1.625
408,-18.4,1.425
409,-18.4,0.925
410,-18.4,1.375
411,-18.4,1.4
412,-18.4,1.85
413,-18.4,1.275
414,-18.4,1.225
415,-18.425,1.2
416,-18.425,1.25
417,-18.425,1.525
418,-18.425,1.2
419,-18.425,1.45
420,-18.425,1.625
421,-18.45,1.15
422,-18.45,1.0
423,-18.45,1.225
424,-18.45,1.8
425,-18.45,1.6
426,-18.45,1.55
427,-18.5,1.65
428,-18.5,1.425
429,-18.525,1.725
430,-18.525,1.775
431,-18.525,1.0
432,-18.525,1.25
433,-18.525,1.45
434,-18.525,0.875
435,-18.525,1.45
436,-18.525,1.375
437,-18.525,1.575
438,-18.525,1.575
439,-18.525,1.1
440,-18.525,0.875
441,-18.625,1.45
442,-18.625,1.275
443,-18.625,1.075
444,-18.65,1.325
445,-18.65,1.5
446,-18.65,1.525
447,-18.65,1.7
448,-18.65,1.2
449,-18.675,1.6
450,-18.7,0.85
451,-18.7,1.275
452,-18.7,0.95
453,-18.7,1.325
454,-18.7,1.6
455,-18.7,1.125
456,-18.7,1.325
457,-18.7,1.35
458,-18.7,1.5
459,-18.7,1.2
460,-18.7,1.3
461,-18.7,1.525
462,-18.7,1.15
463,-18.75,1.075
464,-18.75,0.9
465,-18.75,1.1
466,-18.75,1.075
467,-18.75,1.125
468,-18.75,1.65
469,-18.75,1.475
470,-18.775,0.75
471,-18.775,1.425
472,-18.775,1.425
473,-18.775,1.15
474,-18.775,1.475
475,-18.775,0.875
476,-18.775,1.175
477,-18.8,1.35
478,-18.8,1.325
479,-18.825,0.925
480,-18.825,0.95
481,-18.825,1.275
482,-18.825,1.125
483,-18.825,1.525
484,-18.825,1.525
485,-18.825,1.25
486,-18.825,1.475
487,-18.825,1.85
488,-18.825,1.0
489,-18.825,1.675
490,-18.825,1.4
491,-18.825,1.625
492,-18.825,1.15
493,-18.825,1.15
494,-18.825,1.15
495,-18.825,1.075
496,-18.825,1.375
497,-18.825,1.2
498,-18.825,1.3
499,-18.825,1.25
500,-18.825,1.475
501,-18.825,1.2
502,-18.825,1.5
503,-18.825,1.2
504,-18.825,0.95
505,-18.825,0.875
506,-18.825,1.225
507,-18.825,1.15
508,-18.825,0.975
509,-18.825,1.875
510,-18.825,1.45
511,-18.85,0.875
512,-18.85,1.2
513,-18.85,1.525
514,-18.85,1.45
515,-18.875,1.45
516,-18.875,1.1
517,-18.875,1.575
518,-18.875,1.625
519,-18.875,1.6
520,-18.875,1.775
521,-18.875,1.25
522,-18.875,1.1
523,-18.875,1.225
524,-18.875,1.05
525,-18.875,1.0
526,-18.875,1.55
527,-18.875,1.95
528,-18.875,0.975
529,-18.875,1.45
530,-18.875,1.225
531,-18.925,0.925
532,-18.925,0.925
533,-18.925,0.975
534,-18.925,1.55
535,-18.925,1.375
536,-18.925,1.475
537,-18.925,1.2
538,-18.925,1.25
539,-18.925,1.375
540,-18.925,1.4
541,-18.925,1.3
542,-18.95,1.05
543,-18.95,1.225
544,-18.95,2.275
545,-18.95,1.175
546,-18.95,0.675
547,-18.975,1.175
548,-18.975,1.6
549,-18.975,1.475
550,-18.975,1.3
551,-18.975,1.25
552,-18.975,0.825
553,-18.975,1.525
554,-18.975,0.95
555,-18.975,1.425
556,-18.975,1.275
557,-18.975,1.175
558,-18.975,1.25
559,-18.975,1.25
560,-18.975,1.475
561,-18.975,1.4
562,-18.975,1.1
563,-18.975,1.425
564,-18.975,0.925
565,-18.975,1.525
566,-18.975,1.05
567,-18.975,1.125
568,-18.975,1.9
569,-18.975,1.9
570,-19.0,1.25
571,-19.0,0.9
572,-19.0,1.4
573,-19.0,1.2
574,-19.0,0.9
575,-19.05,1.1
576,-19.05,1.775
577,-19.05,0.825
578,-19.05,1.225
579,-19.05,1.275
580,-19.05,0.825
581,-19.05,1.3
582,-19.05,1.25
583,-19.05,1.3
584,-19.05,1.6
585,-19.05,1.325
586,-19.05,1.85
587,-19.05,1.5
588,-19.05,1.45
589,-19.05,1.275
590,-19.05,1.15
591,-19.05,0.975
592,-19.05,1.475
593,-19.05,1.275
594,-19.05,1.3
595,-19.05,1.0
596,-19.05,1.6
597,-19.05,1.6
598,-19.05,1.15
599,-19.05,1.225
600,-19.05,1.125
601,-19.05,1.175
602,-19.05,1.075
603,-19.05,1.45
604,-19.05,1.4
605,-19.05,1.6
606,-19.05,1.175
607,-19.05,1.425
608,-19.05,1.175
609,-19.05,0.925
610,-19.05,1.15
611,-19.05,1.175
612,-19.05,1.075
613,-19.05,1.05
614,-19.05,1.0
615,-19.075,0.775
616,-19.125,1.35
617,-19.125,1.275
618,-19.125,1.325
619,-19.125,0.925
620,-19.125,1.65
621,-19.125,1.3
622,-19.125,1.25
623,-19.125,1.15
624,-19.125,1.55
625,-19.125,1.475
626,-19.125,1.55
627,-19.125,1.375
628,-19.125,1.45
629,-19.125,1.3
630,-19.125,1.0
631,-19.125,1.525
632,-19.125,1.125
633,-19.125,1.525
634,-19.25,0.9
635,-19.25,1.575
636,-19.25,1.625
637,-19.25,1.125
638,-19.25,1.2
639,-19.25,1.075
640,-19.25,0.9
641,-19.25,1.5
642,-19.275,1.275
643,-19.275,1.3
644,-19.275,0.95
645,-19.3,1.175
646,-19.3,1.225
647,-19.3,1.625
648,-19.3,1.075
649,-19.3,1.175
650,-19.3,1.7
651,-19.3,1.55
652,-19.3,1.1
653,-19.3,1.15
654,-19.3,1.325
655,-19.3,1.275
656,-19.3,1.0
657,-19.3,1.025
658,-19.3,1.425
659,-19.3,1.4
660,-19.3,1.05
661,-19.3,1.375
662,-19.3,0.975
663,-19.3,1.725
664,-19.3,1.05
665,-19.3,0.8
666,-19.3,1.325
667,-19.3,1.325
668,-19.3,1.55
669,-19.3,1.125
670,-19.3,1.15
671,-19.3,1.5
672,-19.3,1.125
673,-19.3,0.925
674,-19.3,0.95
675,-19.3,1.425
676,-19.3,1.275
677,-19.3,1.375
678,-19.375,1.575
679,-19.375,1.4
680,-19.375,1.1
681,-19.375,1.45
682,-19.375,1.275
683,-19.425,1.3
684,-19.425,1.025
685,-19.425,1.075
686,-19.425,0.9
687,-19.425,1.025
688,-19.425,1.6
689,-19.425,1.575
690,-19.425,1.475
691,-19.425,1.35
692,-19.425,1.0
693,-19.425,1.375
694,-19.425,1.15
695,-19.425,1.175
696,-19.425,1.6
697,-19.425,1.775
698,-19.425,1.175
699,-19.55,1.25
700,-19.55,1.45
701,-19.55,1.05
702,-19.55,1.3
703,-19.55,1.05
704,-19.55,1.275
705,-19.55,1.05
706,-19.55,1.775
707,-19.55,1.35
708,-19.55,1.225
709,-19.55,1.85
710,-19.55,1.325
711,-19.55,1.4
712,-19.55,1.925
713,-19.55,1.3
714,-19.55,1.3
715,-19.55,1.1
716,-19.55,1.05
717,-19.55,1.25
718,-19.55,1.225
719,-19.575,1.175
720,-19.575,1.0
721,-19.575,1.725
722,-19.575,1.375
723,-19.575,1.875
724,-19.575,0.7
725,-19.575,1.475
726,-19.575,0.9
727,-19.6,1.225
728,-19.6,1.25
729,-19.6,1.6
730,-19.6,1.525
731,-19.6,1.25
732,-19.6,2.25
733,-19.6,1.55
734,-19.6,1.375
735,-19.6,1.375
736,-19.6,1.375
737,-19.6,1.825
738,-19.6,1.45
739,-19.6,1.35
740,-19.6,1.125
741,-19.6,0.875
742,-19.6,1.175
743,-19.6,1.375
744,-19.6,1.15
745,-19.6,1.175
746,-19.6,0.75
747,-19.625,1.325
748,-19.625,1.25
749,-19.625,1.5
750,-19.625,1.475
751,-19.625,0.675
752,-19.625,0.85
753,-19.625,1.225
754,-19.625,1.35
755,-19.625,1.575
756,-19.625,1.35
757,-19.625,1.85
758,-19.625,1.1
759,-19.625,1.2
760,-19.625,1.225
761,-19.625,0.925
762,-19.625,1.575
763,-19.625,1.2
764,-19.625,1.275
765,-19.625,1.375
766,-19.625,1.2
767,-19.625,1.3
768,-19.625,1.725
769,-19.625,1.475
770,-19.625,1.225
771,-19.625,1.6
772,-19.625,1.35
773,-19.625,1.225
774,-19.625,1.425
775,-19.625,1.575
776,-19.625,1.35
777,-19.625,1.0
778,-19.625,1.05
779,-19.625,1.35
780,-19.625,1.2
781,-19.65,1.525
782,-19.65,1.35
783,-19.65,1.625
784,-19.65,1.5
785,-19.65,1.6
786,-19.65,1.875
787,-19.65,0.975
788,-19.65,1.55
789,-19.65,1.05
790,-19.65,1.375
791,-19.65,1.275
792,-19.65,1.175
793,-19.65,1.4
794,-19.65,0.975
795,-19.65,0.9
796,-19.65,1.1
797,-19.65,1.5
798,-19.65,0.95
799,-19.65,1.625
800,-19.65,1.35
801,-19.65,1.425
802,-19.65,2.05
803,-19.65,1.825
804,-19.65,1.3
805,-19.65,1.075
806,-19.65,1.1
807,-19.65,0.95
808,-19.65,1.05
809,-19.65,1.075
810,-19.65,1.825
811,-19.65,1.425
812,-19.65,1.75
813,-19.7,1.075
814,-19.7,1.75
815,-19.7,1.775
816,-19.7,1.275
817,-19.7,1.1
818,-19.7,0.875
819,-19.7,1.55
820,-19.7,1.6
821,-19.7,1.825
822,-19.7,1.05
823,-19.7,1.325
824,-19.7,1.5
825,-19.7,1.1
826,-19.7,1.275
827,-19.7,1.325
828,-19.7,0.95
829,-19.7,1.25
830,-19.7,1.675
831,-19.7,1.6
832,-19.7,1.2
833,-19.7,1.275
834,-19.7,1.325
835,-19.7,1.675
836,-19.7,0.9
837,-19.7,0.9
838,-19.7,1.525
839,-19.7,1.775
840,-19.7,1.475
841,-19.7,1.95
842,-19.7,1.45
843,-19.7,1.125
844,-19.725,1.375
845,-19.725,1.025
846,-19.725,1.325
847,-19.725,1.525
848,-19.725,1.125
849,-19.725,1.375
850,-19.725,1.35
851,-19.725,1.7
852,-19.725,1.25
853,-19.775,1.1
854,-19.775,1.025
855,-19.775,0.875
856,-19.8,1.025
857,-19.8,1.1
858,-19.8,1.025
859,-19.8,1.2
860,-19.8,1.275
861,-19.8,1.8
862,-19.8,1.4
863,-19.8,1.175
864,-19.8,1.525
865,-19.8,1.575
866,-19.8,1.7
867,-19.8,0.925
868,-19.8,1.4
