Experiment: scoreverloop Hillclimber,"depthhillcimber, 3d, sequence 1, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
381,-6.45,0.775
382,-6.45,0.725
383,-6.45,0.85
384,-6.45,1.225
385,-6.45,1.2
386,-6.45,1.175
387,-6.45,1.2
388,-6.45,0.725
389,-6.45,1.475
390,-6.45,1.225
391,-6.45,0.975
392,-6.45,1.0
393,-6.45,0.8
394,-6.45,0.825
395,-6.45,1.175
396,-6.45,1.0
397,-6.45,1.0
398,-6.45,1.125
399,-6.45,0.725
400,-6.45,0.625
401,-6.45,1.05
402,-6.45,1.0
403,-6.45,0.775
404,-6.45,1.0
405,-6.45,0.975
406,-6.45,1.05
407,-6.45,0.95
408,-6.45,1.125
409,-6.45,1.3
410,-6.45,0.825
411,-6.45,1.35
412,-6.45,0.825
413,-6.45,0.95
414,-6.45,0.9
415,-6.45,1.3
416,-6.45,0.975
417,-6.45,0.875
418,-6.45,0.875
419,-6.45,1.025
420,-6.45,1.175
421,-6.45,0.875
422,-6.45,0.975
423,-6.45,0.7
424,-6.45,1.2
425,-6.45,0.9
426,-6.45,0.825
427,-6.45,0.75
428,-6.45,0.95
429,-6.45,1.175
430,-6.45,1.175
431,-6.45,0.7
432,-6.45,1.125
433,-6.45,0.9
434,-6.45,0.925
435,-6.45,0.95
436,-6.45,0.925
437,-6.475,1.15
438,-6.475,0.75
439,-6.475,1.125
440,-6.475,1.075
441,-6.475,0.95
442,-6.475,0.775
443,-6.475,0.675
444,-6.475,1.25
445,-6.475,0.95
446,-6.475,0.85
447,-6.475,1.3
448,-6.475,1.275
449,-6.475,1.025
450,-6.475,1.375
451,-6.475,1.0
452,-6.475,0.9
453,-6.475,1.275
454,-6.475,0.925
455,-6.475,0.675
456,-6.475,0.725
457,-6.475,0.825
458,-6.475,0.85
459,-6.475,0.825
460,-6.475,0.925
461,-6.475,0.85
462,-6.475,1.075
463,-6.475,1.15
464,-6.475,0.875
465,-6.475,1.15
466,-6.475,0.775
467,-6.475,0.8
468,-6.475,0.975
469,-6.475,0.875
470,-6.475,0.925
471,-6.475,0.9
472,-6.475,0.8
473,-6.475,0.95
474,-6.475,1.025
475,-6.475,0.775
476,-6.475,0.9
477,-6.475,0.525
478,-6.475,0.675
479,-6.475,0.9
480,-6.475,1.125
481,-6.475,1.4
