Experiment: scoreverloop Hillclimber,"randomhillcimber, 3d, sequence 5, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
541,-17.45,2.275
542,-17.45,1.65
543,-17.45,1.5
544,-17.45,1.4
545,-17.45,1.45
546,-17.45,1.7
547,-17.45,2.2
548,-17.45,1.35
549,-17.45,1.725
550,-17.45,1.95
551,-17.45,2.175
552,-17.45,1.875
553,-17.45,1.35
554,-17.45,1.5
555,-17.45,1.8
556,-17.45,1.85
557,-17.45,2.025
558,-17.45,1.8
559,-17.45,1.45
560,-17.45,1.075
561,-17.45,2.0
562,-17.45,1.2
563,-17.45,2.0
564,-17.45,1.775
565,-17.45,2.1
566,-17.45,1.75
567,-17.45,2.4
568,-17.45,1.625
569,-17.45,1.975
570,-17.45,2.475
571,-17.45,1.65
572,-17.45,1.8
573,-17.45,1.75
574,-17.45,2.575
575,-17.45,2.125
576,-17.45,1.5
577,-17.45,1.7
578,-17.45,1.35
579,-17.45,1.225
580,-17.45,1.45
581,-17.45,1.975
582,-17.45,2.2
583,-17.45,1.9
584,-17.45,1.75
585,-17.45,1.475
586,-17.45,1.35
587,-17.45,1.775
588,-17.45,2.15
589,-17.45,2.05
590,-17.45,1.25
591,-17.45,2.15
592,-17.45,1.275
593,-17.45,1.675
594,-17.55,1.05
595,-17.55,1.65
596,-17.55,1.475
597,-17.55,1.375
598,-17.55,1.9
599,-17.55,1.125
600,-17.55,1.75
601,-17.55,1.3
602,-17.55,1.5
603,-17.55,1.725
604,-17.55,1.85
605,-17.55,1.35
606,-17.55,1.925
607,-17.55,1.65
608,-17.55,1.825
609,-17.55,1.475
610,-17.55,2.1
611,-17.55,1.425
612,-17.55,1.75
613,-17.55,1.675
614,-17.55,1.825
615,-17.55,1.725
616,-17.55,2.0
617,-17.55,2.25
618,-17.55,1.325
619,-17.55,1.775
620,-17.55,2.1
621,-17.55,1.825
622,-17.55,1.35
623,-17.55,1.475
624,-17.55,1.075
625,-17.55,1.475
626,-17.55,1.85
627,-17.55,1.625
628,-17.55,1.55
629,-17.55,2.0
630,-17.55,1.7
631,-17.55,1.975
632,-17.55,1.8
633,-17.55,1.675
634,-17.55,1.65
635,-17.55,1.9
636,-17.55,1.95
637,-17.55,1.725
638,-17.55,1.925
639,-17.55,2.15
640,-17.55,1.925
641,-17.55,1.75
642,-17.55,1.475
643,-17.55,1.875
644,-17.55,1.4
645,-17.55,1.725
646,-17.55,1.65
647,-17.55,1.65
648,-17.55,2.025
649,-17.55,1.9
650,-17.55,1.9
651,-17.55,1.55
652,-17.55,1.8
653,-17.55,2.475
654,-17.55,1.825
655,-17.55,1.875
656,-17.55,2.0
657,-17.55,1.675
658,-17.55,2.15
659,-17.55,2.325
660,-17.55,1.5
661,-17.55,2.175
662,-17.55,1.675
663,-17.55,2.175
664,-17.55,1.6
665,-17.55,1.725
666,-17.55,1.65
667,-17.55,1.85
668,-17.55,1.625
669,-17.55,2.425
670,-17.55,2.05
671,-17.55,1.3
672,-17.55,1.75
673,-17.55,1.65
674,-17.55,2.35
675,-17.55,1.575
676,-17.55,1.575
677,-17.55,1.15
678,-17.55,1.025
679,-17.55,2.1
680,-17.55,2.2
681,-17.55,1.55
682,-17.625,1.8
683,-17.625,2.425
684,-17.625,1.75
685,-17.625,1.575
686,-17.625,1.675
687,-17.625,1.5
688,-17.625,1.025
689,-17.625,1.75
690,-17.625,2.275
691,-17.625,1.4
692,-17.625,2.1
693,-17.625,1.75
694,-17.625,2.25
695,-17.625,1.75
696,-17.625,1.2
697,-17.625,1.875
698,-17.625,1.775
699,-17.625,1.4
700,-17.625,1.725
701,-17.625,1.475
702,-17.625,1.9
