Experiment: scoreverloop Hillclimber,"straighthillcimber, 3d, sequence 4, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
345,-13.925,2.275
346,-13.925,1.85
347,-13.925,2.325
348,-13.925,1.95
349,-13.925,2.275
350,-13.925,2.225
351,-13.925,1.575
352,-13.925,2.25
353,-13.925,2.45
354,-13.95,2.625
355,-13.95,2.625
356,-13.975,2.45
357,-13.975,2.75
358,-13.975,1.85
359,-13.975,1.525
360,-13.975,2.025
361,-13.975,1.8
362,-13.975,1.7
363,-13.975,1.95
364,-13.975,1.35
365,-14.0,1.75
366,-14.0,1.5
367,-14.0,1.7
368,-14.0,1.725
369,-14.0,1.825
370,-14.0,2.35
371,-14.0,2.45
372,-14.0,2.375
373,-14.0,2.2
374,-14.0,1.4
375,-14.0,2.1
376,-14.0,1.4
377,-14.0,2.05
378,-14.0,1.85
379,-14.075,2.425
380,-14.1,1.975
381,-14.1,1.8
382,-14.125,2.025
383,-14.125,1.7
384,-14.175,1.625
385,-14.175,1.85
386,-14.175,1.6
387,-14.2,2.05
388,-14.2,1.6
389,-14.2,2.35
390,-14.2,2.075
391,-14.2,2.0
392,-14.25,2.075
393,-14.25,2.75
394,-14.275,1.925
395,-14.275,1.475
396,-14.275,2.025
397,-14.275,2.225
398,-14.275,2.775
399,-14.275,1.95
400,-14.275,1.475
401,-14.3,2.3
402,-14.3,2.125
403,-14.3,1.775
404,-14.3,1.875
405,-14.3,2.975
406,-14.3,2.3
407,-14.3,1.8
408,-14.3,1.425
409,-14.325,2.075
410,-14.375,2.525
411,-14.375,1.825
412,-14.375,2.0
413,-14.375,0.95
414,-14.375,2.075
415,-14.375,2.375
416,-14.4,2.125
417,-14.4,1.95
418,-14.425,3.25
419,-14.425,1.925
420,-14.425,1.875
421,-14.45,1.725
422,-14.45,2.425
423,-14.475,1.0
424,-14.5,1.925
425,-14.55,2.85
426,-14.55,1.2
427,-14.575,1.625
428,-14.575,1.5
429,-14.575,1.95
430,-14.625,1.675
431,-14.675,2.375
432,-14.725,1.95
433,-14.75,1.375
434,-14.75,1.975
435,-14.775,1.925
436,-14.775,1.7
437,-14.775,1.775
438,-14.775,1.9
439,-14.775,2.9
440,-14.775,2.225
441,-14.8,2.0
442,-14.8,2.2
443,-14.8,2.025
444,-14.825,2.675
445,-14.85,3.0
446,-14.85,2.5
447,-14.85,2.275
448,-14.85,2.25
449,-14.85,2.475
450,-14.85,1.725
451,-14.85,1.975
452,-14.85,1.725
453,-14.85,1.9
454,-14.85,1.45
455,-14.85,2.725
456,-14.85,2.7
457,-14.875,1.925
458,-14.875,1.9
459,-14.875,2.55
460,-14.875,2.125
461,-14.875,2.0
462,-14.875,1.625
463,-14.9,1.9
464,-14.925,2.925
465,-14.925,2.375
466,-14.925,1.825
467,-14.925,1.8
468,-14.95,3.375
469,-14.975,2.925
470,-14.975,2.7
471,-14.975,2.75
472,-15.025,2.075
473,-15.025,1.85
474,-15.025,1.975
475,-15.025,1.8
476,-15.025,1.8
477,-15.025,1.025
478,-15.05,2.425
479,-15.05,1.85
480,-15.05,2.1
481,-15.05,2.475
482,-15.05,2.375
483,-15.05,2.875
484,-15.05,1.775
485,-15.075,2.55
486,-15.1,1.7
487,-15.1,2.375
488,-15.15,2.475
489,-15.15,1.775
490,-15.15,3.25
491,-15.15,2.55
492,-15.15,2.05
493,-15.15,3.125
494,-15.15,2.1
495,-15.15,1.6
496,-15.15,2.5
497,-15.2,1.725
498,-15.2,1.875
499,-15.2,1.125
500,-15.2,2.025
501,-15.2,1.775
502,-15.2,1.875
503,-15.225,2.175
504,-15.225,2.025
505,-15.25,2.625
506,-15.25,1.85
507,-15.275,2.4
508,-15.275,2.1
509,-15.275,2.775
510,-15.275,1.625
511,-15.275,2.325
512,-15.3,1.425
513,-15.3,2.025
514,-15.3,1.8
515,-15.3,2.425
516,-15.3,2.275
517,-15.3,2.725
518,-15.3,2.125
519,-15.3,3.3
520,-15.3,2.375
521,-15.3,2.125
522,-15.3,2.75
523,-15.375,2.55
524,-15.375,1.65
525,-15.375,1.975
526,-15.375,2.2
527,-15.375,2.65
528,-15.375,2.525
529,-15.375,2.3
530,-15.375,1.725
531,-15.4,2.25
532,-15.4,1.75
533,-15.4,2.025
534,-15.4,1.85
535,-15.4,1.975
536,-15.425,2.55
537,-15.425,1.575
538,-15.425,1.65
539,-15.425,2.4
540,-15.425,1.95
541,-15.425,1.65
542,-15.425,1.75
543,-15.425,2.05
544,-15.475,3.275
545,-15.475,1.675
546,-15.475,2.15
547,-15.475,1.975
548,-15.475,1.425
549,-15.475,1.775
550,-15.475,1.675
551,-15.475,2.075
552,-15.475,2.175
553,-15.475,1.95
554,-15.525,2.25
555,-15.525,2.55
556,-15.525,2.0
557,-15.525,2.05
558,-15.525,1.8
559,-15.525,2.1
560,-15.525,1.6
561,-15.525,2.7
562,-15.525,2.25
563,-15.55,1.7
564,-15.55,2.15
565,-15.55,2.1
566,-15.55,1.325
567,-15.55,1.825
568,-15.55,2.0
569,-15.55,2.65
570,-15.55,1.8
571,-15.55,1.75
572,-15.55,1.5
573,-15.55,2.2
574,-15.55,1.975
575,-15.55,2.175
576,-15.55,3.175
577,-15.55,2.05
578,-15.55,2.9
579,-15.55,2.25
580,-15.55,2.075
581,-15.55,2.0
582,-15.55,2.35
583,-15.55,2.1
584,-15.55,1.8
585,-15.575,3.05
586,-15.6,2.925
587,-15.6,2.225
588,-15.6,2.3
589,-15.6,1.625
590,-15.6,2.2
591,-15.6,2.4
592,-15.6,2.025
593,-15.6,1.575
594,-15.6,2.875
595,-15.6,2.425
596,-15.625,1.65
597,-15.625,2.225
598,-15.625,3.525
599,-15.625,2.65
600,-15.625,2.3
601,-15.625,1.825
602,-15.625,2.0
603,-15.625,2.0
604,-15.625,1.9
605,-15.625,2.625
606,-15.625,1.825
607,-15.65,2.025
608,-15.65,2.05
609,-15.65,2.325
610,-15.65,2.075
611,-15.65,2.375
612,-15.65,2.525
613,-15.675,2.15
614,-15.675,1.925
615,-15.675,2.5
616,-15.675,2.45
617,-15.675,1.725
618,-15.675,1.9
619,-15.675,3.1
620,-15.675,2.225
621,-15.675,2.25
622,-15.7,2.65
623,-15.725,2.15
624,-15.725,3.075
625,-15.725,2.275
626,-15.725,1.85
627,-15.775,2.35
628,-15.775,1.825
629,-15.775,2.35
630,-15.775,2.2
631,-15.775,2.5
632,-15.775,2.25
633,-15.775,1.75
634,-15.775,1.675
635,-15.775,1.95
636,-15.775,1.7
637,-15.775,2.125
638,-15.8,2.375
639,-15.8,1.75
640,-15.825,2.725
641,-15.825,2.5
642,-15.875,2.25
643,-15.875,2.125
644,-15.875,2.275
645,-15.875,2.325
646,-15.875,1.85
647,-15.875,2.65
648,-15.875,2.2
649,-15.875,1.75
650,-15.875,2.825
651,-15.875,1.9
652,-15.875,2.475
653,-15.875,2.625
654,-15.875,2.475
655,-15.875,1.475
656,-15.875,3.1
657,-15.875,1.7
658,-15.875,2.475
659,-15.875,2.075
660,-15.875,1.95
