Experiment: scoreverloop Hillclimber,"straighthillcimber, 3d, sequence 7, it: 1000, gemiddelde van 40 keer: iteraties, gem_score, gem_errors"
647,-25.75,2.3
648,-25.75,1.775
649,-25.75,2.775
650,-25.75,2.45
651,-25.75,2.775
652,-25.75,1.475
653,-25.75,1.725
654,-25.75,2.15
655,-25.75,2.0
656,-25.75,2.325
657,-25.75,2.0
658,-25.75,2.55
659,-25.75,2.625
660,-25.75,2.15
661,-25.8,1.825
662,-25.8,2.25
663,-25.8,1.7
664,-25.8,2.2
665,-25.8,2.125
666,-25.8,2.275
667,-25.8,2.35
668,-25.825,2.3
669,-25.825,1.925
670,-25.825,2.2
671,-25.825,1.95
672,-25.825,1.85
673,-25.825,2.275
674,-25.825,3.0
675,-25.825,2.55
676,-25.825,2.0
677,-25.825,1.875
678,-25.85,1.95
679,-25.85,1.1
680,-25.85,1.275
681,-25.85,1.3
682,-25.875,1.95
683,-25.875,1.8
684,-25.975,3.25
685,-25.975,1.85
686,-25.975,2.55
687,-25.975,1.425
688,-25.975,1.275
689,-25.975,1.9
690,-25.975,1.6
691,-25.975,1.75
692,-25.975,1.55
693,-25.975,2.575
694,-25.975,2.05
695,-25.975,2.275
696,-25.975,2.5
697,-25.975,2.675
698,-25.975,2.2
699,-25.975,2.7
700,-25.975,2.725
701,-25.975,2.875
702,-25.975,2.675
703,-25.975,2.425
704,-25.975,1.8
705,-25.975,2.55
706,-25.975,2.75
707,-26.0,1.725
708,-26.0,2.3
709,-26.0,2.3
710,-26.0,2.3
711,-26.0,2.075
712,-26.0,1.925
713,-26.0,2.125
714,-26.0,2.375
715,-26.0,2.45
716,-26.0,2.6
717,-26.0,2.375
718,-26.075,1.7
719,-26.075,1.875
720,-26.075,2.25
721,-26.1,2.375
722,-26.1,2.525
723,-26.1,3.025
724,-26.1,2.45
725,-26.1,2.15
726,-26.1,2.325
727,-26.15,1.45
728,-26.175,2.0
729,-26.175,1.725
730,-26.175,1.65
731,-26.25,3.45
732,-26.25,1.325
733,-26.25,2.0
734,-26.25,1.95
735,-26.25,2.675
736,-26.275,2.225
737,-26.275,2.175
738,-26.275,2.625
739,-26.275,2.9
740,-26.275,1.925
741,-26.275,3.2
742,-26.275,2.325
743,-26.275,2.9
744,-26.275,1.775
745,-26.275,1.625
746,-26.275,2.1
747,-26.35,2.6
748,-26.375,1.975
749,-26.375,2.825
750,-26.375,2.625
751,-26.425,2.875
752,-26.425,1.875
753,-26.425,1.925
754,-26.425,2.475
755,-26.425,1.9
756,-26.425,2.125
757,-26.425,2.3
758,-26.475,2.525
759,-26.475,2.175
760,-26.475,1.9
761,-26.475,2.275
762,-26.475,2.6
763,-26.5,2.65
764,-26.5,2.1
765,-26.5,1.925
766,-26.5,1.325
767,-26.5,1.4
768,-26.5,2.15
769,-26.5,1.925
770,-26.5,2.05
771,-26.5,2.0
772,-26.5,1.975
773,-26.5,2.225
774,-26.5,1.975
775,-26.5,1.875
776,-26.5,2.0
777,-26.5,2.475
778,-26.5,2.275
779,-26.5,1.975
780,-26.5,1.625
781,-26.5,2.125
782,-26.5,2.475
783,-26.5,2.05
784,-26.5,1.9
785,-26.5,2.75
786,-26.5,1.95
787,-26.5,2.35
788,-26.5,1.825
789,-26.55,1.45
790,-26.55,1.275
791,-26.55,1.725
792,-26.55,1.9
793,-26.55,1.975
794,-26.575,2.4
795,-26.575,1.625
796,-26.575,1.5
797,-26.575,1.75
798,-26.575,1.975
799,-26.575,2.35
800,-26.575,2.35
801,-26.6,2.25
802,-26.6,1.975
803,-26.625,1.475
804,-26.625,2.725
805,-26.625,2.15
806,-26.625,1.725
807,-26.625,2.0
808,-26.625,2.375
809,-26.625,1.55
810,-26.625,2.2
811,-26.625,1.725
812,-26.625,1.8
813,-26.625,1.975
814,-26.625,1.85
815,-26.625,1.975
816,-26.625,1.125
817,-26.625,2.0
818,-26.625,2.2
819,-26.625,1.525
820,-26.625,2.15
821,-26.875,1.4
822,-26.875,2.425
823,-26.875,1.975
824,-26.875,2.9
825,-26.875,1.975
826,-26.875,1.9
827,-26.875,2.625
828,-26.875,2.4
829,-26.875,1.55
830,-26.875,1.4
831,-26.875,1.425
832,-26.875,1.9
833,-26.875,2.625
834,-26.875,2.45
835,-26.875,2.3
836,-26.875,3.05
837,-26.875,1.825
838,-26.875,1.675
839,-26.875,1.575
840,-26.875,2.65
841,-26.875,1.9
842,-26.875,2.35
843,-26.875,2.325
844,-26.875,1.075
845,-26.875,2.05
846,-26.875,2.775
847,-26.875,1.925
848,-26.875,1.85
849,-26.875,2.6
850,-26.875,2.1
851,-26.875,2.825
852,-26.875,1.275
853,-26.875,1.775
854,-26.875,2.4
855,-26.875,2.325
856,-26.875,1.675
857,-26.875,2.8
858,-26.875,2.5
859,-26.925,1.85
860,-26.925,1.95
861,-26.925,1.275
862,-26.925,1.925
863,-26.925,1.675
864,-26.925,2.25
865,-26.925,2.175
866,-26.925,2.375
867,-26.925,1.875
868,-26.925,2.875
869,-26.925,2.075
870,-26.925,2.0
871,-26.925,2.5
872,-26.925,2.125
873,-26.925,1.975
874,-26.925,1.8
875,-26.925,2.525
876,-26.925,2.0
877,-26.925,1.525
878,-26.925,2.325
879,-26.925,2.25
880,-26.925,1.575
881,-26.925,2.475
882,-26.925,2.4
883,-26.925,1.225
884,-26.925,2.8
885,-26.925,2.025
886,-26.925,2.4
887,-26.925,2.425
888,-26.925,2.65
889,-26.925,2.025
890,-26.925,1.95
891,-26.95,1.725
892,-26.95,2.425
893,-26.95,1.725
894,-26.95,2.7
895,-26.95,2.6
896,-26.95,1.75
897,-26.95,2.1
898,-26.95,2.225
899,-26.95,2.2
900,-26.95,1.925
901,-26.95,2.525
902,-26.95,2.325
903,-26.95,2.4
904,-26.95,2.425
905,-26.95,2.625
906,-26.95,1.425
907,-26.95,2.25
908,-26.95,1.675
909,-26.95,1.25
910,-26.95,1.55
911,-26.95,2.05
912,-26.95,2.7
913,-26.95,3.05
914,-26.95,2.125
915,-26.95,1.6
916,-26.95,3.175
917,-26.95,2.575
918,-26.95,1.775
919,-26.95,1.55
920,-26.95,1.775
921,-26.95,1.725
922,-26.95,2.45
923,-26.95,2.175
924,-26.95,1.5
925,-26.95,2.6
926,-26.95,2.925
927,-26.95,1.925
928,-26.95,2.125
929,-26.95,2.25
930,-26.95,2.0
931,-26.95,2.125
932,-26.95,2.325
933,-26.95,2.45
934,-26.95,1.475
935,-26.95,2.5
936,-26.95,2.6
937,-26.95,1.8
938,-26.95,1.4
939,-26.95,1.875
940,-26.95,2.6
941,-26.95,1.7
942,-26.95,1.825
943,-26.95,2.1
944,-26.95,2.325
945,-26.95,1.825
946,-26.95,1.65
947,-26.95,2.15
948,-26.95,2.0
949,-26.95,2.2
950,-26.95,1.8
951,-26.95,1.45
952,-26.95,2.075
953,-26.95,2.8
954,-26.95,2.05
955,-26.95,1.5
956,-26.95,1.675
957,-26.95,2.175
958,-26.95,2.8
959,-26.95,1.625
960,-26.95,1.9
961,-26.95,2.45
962,-26.95,2.075
963,-26.95,2.625
964,-26.95,2.525
965,-26.95,1.875
966,-26.95,1.625
967,-26.95,1.5
968,-26.95,1.55
969,-26.95,2.425
970,-26.95,2.225
971,-26.95,2.35
972,-26.95,1.7
973,-26.95,1.625
974,-26.95,2.55
975,-26.95,2.275
976,-26.95,2.525
977,-26.95,2.975
978,-27.0,1.9
979,-27.0,1.675
980,-27.0,1.25
981,-27.0,2.575
982,-27.0,1.675
983,-27.0,2.825
984,-27.0,2.325
985,-27.0,1.675
986,-27.0,2.025
987,-27.0,1.85
988,-27.0,2.55
989,-27.0,1.9
990,-27.0,1.9
991,-27.0,2.0
992,-27.0,2.775
993,-27.0,2.3
994,-27.0,2.475
995,-27.0,2.225
996,-27.0,1.5
997,-27.0,2.075
998,-27.0,3.0
999,-27.0,2.275
1000,-27.0,1.625
